Individual,Trial,Repetition,Result_type,Result
CA59,Explo1,B,seconds_LatencyMovement,914
CA62,Explo1,A,seconds_arena,1275
CA62,Explo1,A,seconds_LatencyMovement,1172
CA62,Explo1,B,seconds_arena,396
CA62,Explo1,B,seconds_LatencyMovement,180
CA65,Explo1,A,seconds_arena,1708
CA65,Explo1,A,seconds_LatencyMovement,1327
CA65,Explo1,B,seconds_arena,1295
CA65,Explo1,B,seconds_LatencyMovement,1335
CA66,Explo1,A,seconds_arena,635
CA66,Explo1,A,seconds_LatencyMovement,481
CA66,Explo1,B,seconds_arena,2554
CA66,Explo1,B,seconds_LatencyMovement,1978
CA68,Explo1,A,seconds_arena,1610
CA68,Explo1,A,seconds_LatencyMovement,1517
CA68,Explo1,B,seconds_arena,3403
CA68,Explo1,B,seconds_LatencyMovement,3225
CA70,Explo1,A,seconds_arena,2914
CA70,Explo1,A,seconds_LatencyMovement,2714
CA70,Explo1,B,seconds_arena,3600
CA70,Explo1,B,seconds_LatencyMovement,3600
CA71,Explo1,A,seconds_arena,993
CA71,Explo1,A,seconds_LatencyMovement,912
CA71,Explo1,B,seconds_arena,2465
CA71,Explo1,B,seconds_LatencyMovement,2375
CA72,Explo1,A,seconds_arena,146
CA72,Explo1,A,seconds_LatencyMovement,97
CA72,Explo1,B,seconds_arena,95
CA72,Explo1,B,seconds_LatencyMovement,59
CA52,Explo2,A,squares,91
CA52,Explo2,A,tong_flicks,776
CA52,Explo2,B,squares,54
CA52,Explo2,B,tong_flicks,711
CA53,Explo2,A,squares,133
CA53,Explo2,A,tong_flicks,1713
CA53,Explo2,B,squares,98
CA53,Explo2,B,tong_flicks,1247
CA54,Explo2,A,squares,67
CA54,Explo2,A,tong_flicks,814
CA54,Explo2,B,squares,67
CA54,Explo2,B,tong_flicks,903
CA56,Explo2,A,squares,0
CA56,Explo2,A,tong_flicks,303
CA56,Explo2,B,squares,0
CA56,Explo2,B,tong_flicks,171
CA57,Explo2,A,squares,45
CA57,Explo2,A,tong_flicks,574
CA57,Explo2,B,squares,29
CA57,Explo2,B,tong_flicks,518
CA58,Explo2,A,squares,39
CA58,Explo2,A,tong_flicks,811
CA58,Explo2,B,squares,46
CA58,Explo2,B,tong_flicks,695
CA59,Explo2,A,squares,166
CA59,Explo2,A,tong_flicks,1961
CA59,Explo2,B,squares,140
CA59,Explo2,B,tong_flicks,1565
CA62,Explo2,A,squares,59
CA62,Explo2,A,tong_flicks,1408
CA62,Explo2,B,squares,62
CA62,Explo2,B,tong_flicks,1259
CA65,Explo2,A,squares,72
CA65,Explo2,A,tong_flicks,729
CA65,Explo2,B,squares,143
CA65,Explo2,B,tong_flicks,1063
CA66,Explo2,A,squares,238
CA66,Explo2,A,tong_flicks,1981
CA66,Explo2,B,squares,176
CA66,Explo2,B,tong_flicks,1515
CA68,Explo2,A,squares,46
CA68,Explo2,A,tong_flicks,592
CA68,Explo2,B,squares,45
CA68,Explo2,B,tong_flicks,629
CA70,Explo2,A,squares,44
CA70,Explo2,A,tong_flicks,804
CA70,Explo2,B,squares,
CA70,Explo2,B,tong_flicks,
CA71,Explo2,A,squares,173
CA71,Explo2,A,tong_flicks,1640
CA71,Explo2,B,squares,100
CA71,Explo2,B,tong_flicks,936
CA72,Explo2,A,squares,199
CA72,Explo2,A,tong_flicks,1754
CA72,Explo2,B,squares,181
CA72,Explo2,B,tong_flicks,1403
CA52,Soc2,A,centimeters,0
CA52,Soc2,B,centimeters,0
CA53,Soc2,A,centimeters,134
CA53,Soc2,B,centimeters,0
CA54,Soc2,A,centimeters,0
CA54,Soc2,B,centimeters,53
CA56,Soc2,A,centimeters,143
CA56,Soc2,B,centimeters,0
CA57,Soc2,A,centimeters,0
CA57,Soc2,B,centimeters,0
CA58,Soc2,A,centimeters,125
CA58,Soc2,B,centimeters,0
CA59,Soc2,A,centimeters,0
CA59,Soc2,B,centimeters,0
CA62,Soc2,A,centimeters,0
CA62,Soc2,B,centimeters,0
CA65,Soc2,A,centimeters,66
CA65,Soc2,B,centimeters,3
CA66,Soc2,A,centimeters,86
CA66,Soc2,B,centimeters,0
CA68,Soc2,A,centimeters,119
CA68,Soc2,B,centimeters,125
CA70,Soc2,A,centimeters,17
CA70,Soc2,B,centimeters,136
CA71,Soc2,A,centimeters,0
CA71,Soc2,B,centimeters,0
CA72,Soc2,A,centimeters,0
CA72,Soc2,B,centimeters,0
